tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
1000039,AppleSupport,False,Sat Jul 01 14:12:00 +0000 2023,"For unauthorized purchases, please report it directly at reportaproblem.apple.com. If you need further help, DM us the order details.",,1000038
1000040,cust_00020,True,Mon May 08 06:12:00 +0000 2023,@AppleSupport downloaded the new update and now touch id doesn't work at all,1000041,
1000041,AppleSupport,False,Mon May 08 06:24:00 +0000 2023,"Let's help get this resolved. Have you tried a force restart? Press and quickly release Volume Up, then Volume Down, then hold the Side button.",,1000040
1000042,cust_00021,True,Mon Oct 09 03:03:00 +0000 2023,@AppleSupport can you explain how family sharing works for app purchases,1000043,
1000043,AppleSupport,False,Mon Oct 09 03:33:00 +0000 2023,Great question! You can use Quick Start or iCloud Backup to transfer everything over -- here's a guide: support.apple.com/HT204350,,1000042
1000044,cust_00022,True,Tue Jan 31 05:24:00 +0000 2023,"@AppleSupport charged twice for the same app purchase, need a refund",1000045,
1000045,AppleSupport,False,Tue Jan 31 06:51:00 +0000 2023,Sorry about the unexpected charge. Please DM us the receipt/order number so we can look into a refund on our end.,,1000044
1000046,cust_00023,True,Tue Mar 21 06:18:00 +0000 2023,@AppleSupport how do i turn off read receipts in imessage,1000047,
1000047,AppleSupport,False,Tue Mar 21 07:35:00 +0000 2023,Great question! You can use Quick Start or iCloud Backup to transfer everything over -- here's a guide: support.apple.com/HT204350,,1000046
1000048,cust_00024,True,Fri Sep 15 16:10:00 +0000 2023,@AppleSupport how do i transfer photos from my old iphone to the new one,1000049,
1000049,AppleSupport,False,Fri Sep 15 17:04:00 +0000 2023,Great question! You can use Quick Start or iCloud Backup to transfer everything over -- here's a guide: support.apple.com/HT204350,,1000048
1000050,cust_00025,True,Thu Oct 19 07:37:00 +0000 2023,@AppleSupport downloaded the new update and now touch id doesn't work at all,1000051,
1000051,AppleSupport,False,Thu Oct 19 08:06:00 +0000 2023,That's not expected after an update. Can you tell us the exact iOS version and model? We'll go from there.,,1000050
1000052,cust_00026,True,Wed May 03 08:25:00 +0000 2023,@AppleSupport forgot my apple id password and the reset email isn't coming,1000053,
1000053,AppleSupport,False,Wed May 03 09:40:00 +0000 2023,"Let's get your account secured. Please visit iforgot.apple.com to reset your password, or DM us if you're still stuck.",,1000052
1000054,cust_00027,True,Tue Feb 07 17:13:00 +0000 2023,@AppleSupport downloaded the new update and now touch id doesn't work at all,1000055,
1000055,AppleSupport,False,Tue Feb 07 17:36:00 +0000 2023,"Let's help get this resolved. Have you tried a force restart? Press and quickly release Volume Up, then Volume Down, then hold the Side button.",,1000054
1000056,cust_00028,True,Fri Oct 06 22:19:00 +0000 2023,@AppleSupport can you explain how family sharing works for app purchases,1000057,
1000057,AppleSupport,False,Fri Oct 06 22:39:00 +0000 2023,"Check Settings > General > iPhone Storage for a breakdown by app, plus recommendations to free up space.",,1000056
1000058,cust_00029,True,Wed Mar 01 03:47:00 +0000 2023,"@AppleSupport estimated delivery keeps getting pushed back, what's going on",1000059,
1000059,AppleSupport,False,Wed Mar 01 04:16:00 +0000 2023,That's not the experience we want. Let's take a closer look -- can you send your order confirmation number in a DM?,,1000058
1000060,cust_00030,True,Sat Sep 16 15:16:00 +0000 2023,@AppleSupport ordered my iPhone 12 2 weeks ago and it still says preparing to ship,1000061,
1000061,AppleSupport,False,Sat Sep 16 15:35:00 +0000 2023,Sorry for the delay! Please DM us your order number and we'll check with the shipping carrier on our end.,,1000060
1000062,cust_00031,True,Fri Mar 24 23:28:00 +0000 2023,"@AppleSupport estimated delivery keeps getting pushed back, what's going on",1000063,
1000063,AppleSupport,False,Sat Mar 25 00:40:00 +0000 2023,We can help look into that. Could you send us your order number via DM so we can check the latest status?,,1000062
1000064,cust_00032,True,Sun Jul 09 18:35:00 +0000 2023,@AppleSupport why does my iPhone SE lose 20% battery in an hour just sitting there,1000065,
1000065,AppleSupport,False,Sun Jul 09 19:04:00 +0000 2023,We'd like to check a few things with you. Can you check Settings > Battery > Battery Health & Charging and let us know the max capacity shown?,,1000064
1000066,cust_00033,True,Fri Dec 08 03:22:00 +0000 2023,@AppleSupport need to book a repair appointment for water damage,1000067,
1000067,AppleSupport,False,Fri Dec 08 03:28:00 +0000 2023,We'd recommend booking a check-in at your nearest Apple Store or starting a repair request online so we can assess coverage.,,1000066
1000068,cust_00034,True,Sat Jan 13 10:50:00 +0000 2024,"@AppleSupport my ipad won't charge or turn on, tried different cables",1000069,
1000069,AppleSupport,False,Sat Jan 13 11:53:00 +0000 2024,"Please try charging with a different cable/adapter for 15+ minutes, then attempt a force restart. Let us know what happens.",,1000068
1000070,cust_00035,True,Thu Apr 13 14:22:00 +0000 2023,"@AppleSupport my phone has a manufacturing defect, camera bump is uneven, can i get a replacement",1000071,
1000071,AppleSupport,False,Thu Apr 13 15:00:00 +0000 2023,A swollen battery should be looked at right away for safety. Please stop using the device and visit an Apple Store or Authorized Service Provider as soon as possible.,,1000070
1000072,cust_00036,True,Wed Jan 31 08:22:00 +0000 2024,@AppleSupport downloaded the new update and now touch id doesn't work at all,1000073,
1000073,AppleSupport,False,Wed Jan 31 08:47:00 +0000 2024,That's not expected after an update. Can you tell us the exact iOS version and model? We'll go from there.,,1000072
1000074,cust_00037,True,Fri Jan 20 03:38:00 +0000 2023,@AppleSupport can i change the shipping address on my pending order,1000075,
1000075,AppleSupport,False,Fri Jan 20 04:54:00 +0000 2023,Sorry for the delay! Please DM us your order number and we'll check with the shipping carrier on our end.,,1000074
1000076,cust_00038,True,Thu May 11 01:45:00 +0000 2023,"@AppleSupport battery swelled up and is pushing the screen out, is this covered?",1000077,
1000077,AppleSupport,False,Thu May 11 01:56:00 +0000 2023,A swollen battery should be looked at right away for safety. Please stop using the device and visit an Apple Store or Authorized Service Provider as soon as possible.,,1000076
1000078,cust_00039,True,Thu Nov 16 10:42:00 +0000 2023,"@AppleSupport locked out of my apple id, verification code never arrives",1000079,
1000079,AppleSupport,False,Thu Nov 16 11:22:00 +0000 2023,"If you believe your account was accessed by someone else, please change your password immediately at iforgot.apple.com and enable two-factor authentication.",,1000078
1000080,cust_00040,True,Tue Mar 07 06:26:00 +0000 2023,"@AppleSupport customer service today was amazing, appreciate you guys",1000081,
1000081,AppleSupport,False,Tue Mar 07 07:07:00 +0000 2023,We're so glad we could help! Thanks for the kind words.,,1000080
1000082,cust_00041,True,Tue Apr 18 13:50:00 +0000 2023,"@AppleSupport estimated delivery keeps getting pushed back, what's going on",1000083,
1000083,AppleSupport,False,Tue Apr 18 14:14:00 +0000 2023,Sorry for the delay! Please DM us your order number and we'll check with the shipping carrier on our end.,,1000082
1000084,cust_00042,True,Fri May 26 16:42:00 +0000 2023,@AppleSupport downloaded the new update and now touch id doesn't work at all,1000085,
1000085,AppleSupport,False,Fri May 26 17:03:00 +0000 2023,"Sorry about that. First, try restarting your device. If the issue persists, we can look deeper -- mind sending us a DM?",,1000084
1000086,cust_00043,True,Tue Jan 24 07:30:00 +0000 2023,@AppleSupport is it normal for my iPhone 12 to get hot and lose battery this fast,1000087,
1000087,AppleSupport,False,Tue Jan 24 08:22:00 +0000 2023,Sorry to hear this! A few background app or settings checks can help here. Mind moving to DM so we can look into your device specifics?,,1000086
1000088,cust_00044,True,Mon Jul 24 07:09:00 +0000 2023,@AppleSupport how do i transfer photos from my old iphone to the new one,1000089,
1000089,AppleSupport,False,Mon Jul 24 08:23:00 +0000 2023,Great question! You can use Quick Start or iCloud Backup to transfer everything over -- here's a guide: support.apple.com/HT204350,,1000088
1000090,cust_00045,True,Sat Mar 04 14:08:00 +0000 2023,"@AppleSupport battery swelled up and is pushing the screen out, is this covered?",1000091,
1000091,AppleSupport,False,Sat Mar 04 15:05:00 +0000 2023,This sounds like it needs a closer look by a technician. You can check your coverage and start a service request at getsupport.apple.com.,,1000090
1000092,cust_00046,True,Thu Aug 17 05:47:00 +0000 2023,"@AppleSupport customer service today was amazing, appreciate you guys",1000093,
1000093,AppleSupport,False,Thu Aug 17 07:10:00 +0000 2023,Awesome to hear! Don't hesitate to reach out if anything else comes up.,,1000092
1000094,cust_00047,True,Sun May 21 14:04:00 +0000 2023,"@AppleSupport my phone has a manufacturing defect, camera bump is uneven, can i get a replacement",1000095,
1000095,AppleSupport,False,Sun May 21 14:26:00 +0000 2023,This sounds like it needs a closer look by a technician. You can check your coverage and start a service request at getsupport.apple.com.,,1000094
1000096,cust_00048,True,Sun Jul 16 22:09:00 +0000 2023,@AppleSupport how much would it cost to fix a cracked back glass on iPhone 12,1000097,
1000097,AppleSupport,False,Sun Jul 16 22:19:00 +0000 2023,This sounds like it needs a closer look by a technician. You can check your coverage and start a service request at getsupport.apple.com.,,1000096
1000098,cust_00049,True,Fri Aug 04 12:57:00 +0000 2023,@AppleSupport need to book a repair appointment for water damage,1000099,
1000099,AppleSupport,False,Fri Aug 04 13:49:00 +0000 2023,This sounds like it needs a closer look by a technician. You can check your coverage and start a service request at getsupport.apple.com.,,1000098
1000100,cust_00050,True,Tue Oct 03 23:47:00 +0000 2023,@AppleSupport requested a refund 2 weeks ago and haven't heard back,1000101,
1000101,AppleSupport,False,Wed Oct 04 00:39:00 +0000 2023,Sorry about the unexpected charge. Please DM us the receipt/order number so we can look into a refund on our end.,,1000100
1000102,cust_00051,True,Sat Dec 09 21:51:00 +0000 2023,"@AppleSupport someone else is using my apple id, how do i secure it",1000103,
1000103,AppleSupport,False,Sat Dec 09 23:09:00 +0000 2023,"If you believe your account was accessed by someone else, please change your password immediately at iforgot.apple.com and enable two-factor authentication.",,1000102
1000104,cust_00052,True,Sun Feb 12 20:27:00 +0000 2023,@AppleSupport why does my iPhone XR lose 20% battery in an hour just sitting there,1000105,
1000105,AppleSupport,False,Sun Feb 12 21:28:00 +0000 2023,We'd like to check a few things with you. Can you check Settings > Battery > Battery Health & Charging and let us know the max capacity shown?,,1000104
1000106,cust_00053,True,Thu Jun 22 12:17:00 +0000 2023,"@AppleSupport someone else is using my apple id, how do i secure it",1000107,
1000107,AppleSupport,False,Thu Jun 22 12:48:00 +0000 2023,"Let's get your account secured. Please visit iforgot.apple.com to reset your password, or DM us if you're still stuck.",,1000106
1000108,cust_00054,True,Sun Feb 04 20:02:00 +0000 2024,"@AppleSupport ios 16.2 update bricked my iPhone 13, stuck on apple logo",1000109,
1000109,AppleSupport,False,Sun Feb 04 21:05:00 +0000 2024,"Sorry about that. First, try restarting your device. If the issue persists, we can look deeper -- mind sending us a DM?",,1000108
1000110,cust_00055,True,Mon Oct 16 06:29:00 +0000 2023,"@AppleSupport my phone won't update past ios 16.2, keeps failing",1000111,
1000111,AppleSupport,False,Mon Oct 16 06:45:00 +0000 2023,"Sorry about that. First, try restarting your device. If the issue persists, we can look deeper -- mind sending us a DM?",,1000110
1000112,cust_00056,True,Fri Jun 09 18:43:00 +0000 2023,@AppleSupport ever since ios 15.7 my battery has been terrible,1000113,
1000113,AppleSupport,False,Fri Jun 09 19:24:00 +0000 2023,"That doesn't sound right. Let's get this sorted -- which iOS version are you on, and does this happen with specific apps or all the time?",,1000112
1000114,cust_00057,True,Tue Oct 17 01:22:00 +0000 2023,@AppleSupport downloaded the new update and now touch id doesn't work at all,1000115,
1000115,AppleSupport,False,Tue Oct 17 01:26:00 +0000 2023,"Let's help get this resolved. Have you tried a force restart? Press and quickly release Volume Up, then Volume Down, then hold the Side button.",,1000114
1000116,cust_00058,True,Fri Sep 08 03:27:00 +0000 2023,"@AppleSupport my kid made in app purchases without permission, can i get refunded",1000117,
1000117,AppleSupport,False,Fri Sep 08 04:53:00 +0000 2023,Sorry about the unexpected charge. Please DM us the receipt/order number so we can look into a refund on our end.,,1000116
1000118,cust_00059,True,Sun Nov 12 17:49:00 +0000 2023,@AppleSupport can i change the shipping address on my pending order,1000119,
1000119,AppleSupport,False,Sun Nov 12 18:27:00 +0000 2023,Sorry for the delay! Please DM us your order number and we'll check with the shipping carrier on our end.,,1000118
1000120,cust_00060,True,Fri May 05 14:36:00 +0000 2023,@AppleSupport can you explain how family sharing works for app purchases,1000121,
1000121,AppleSupport,False,Fri May 05 15:06:00 +0000 2023,You can toggle that off in Settings > Messages > Send Read Receipts. Let us know if you run into any issues!,,1000120
1000122,cust_00061,True,Sat May 13 10:17:00 +0000 2023,"@AppleSupport can't sign into icloud on my new phone, says account disabled",1000123,
1000123,AppleSupport,False,Sat May 13 11:12:00 +0000 2023,"If you believe your account was accessed by someone else, please change your password immediately at iforgot.apple.com and enable two-factor authentication.",,1000122
1000124,cust_00062,True,Thu Oct 12 07:44:00 +0000 2023,@AppleSupport how do i free up storage on my iPhone XR without deleting photos,1000125,
1000125,AppleSupport,False,Thu Oct 12 08:18:00 +0000 2023,Great question! You can use Quick Start or iCloud Backup to transfer everything over -- here's a guide: support.apple.com/HT204350,,1000124
1000126,cust_00063,True,Wed Dec 06 18:23:00 +0000 2023,@AppleSupport can i change the shipping address on my pending order,1000127,
1000127,AppleSupport,False,Wed Dec 06 19:24:00 +0000 2023,Sorry for the delay! Please DM us your order number and we'll check with the shipping carrier on our end.,,1000126
1000128,cust_00064,True,Tue Jun 06 08:14:00 +0000 2023,@AppleSupport ordered my iPhone 13 2 weeks ago and it still says preparing to ship,1000129,
1000129,AppleSupport,False,Tue Jun 06 08:41:00 +0000 2023,That's not the experience we want. Let's take a closer look -- can you send your order confirmation number in a DM?,,1000128
1000130,cust_00065,True,Sun Jan 14 15:17:00 +0000 2024,@AppleSupport need to book a repair appointment for water damage,1000131,
1000131,AppleSupport,False,Sun Jan 14 16:06:00 +0000 2024,We'd recommend booking a check-in at your nearest Apple Store or starting a repair request online so we can assess coverage.,,1000130
1000132,cust_00066,True,Sun Jun 04 00:45:00 +0000 2023,"@AppleSupport screen is unresponsive and phone is warm, won't do anything",1000133,
1000133,AppleSupport,False,Sun Jun 04 01:04:00 +0000 2023,"We know how important your device is, let's work through this. Have you tried a force restart and letting it charge for at least 30 minutes first?",,1000132
1000134,cust_00067,True,Wed Feb 22 00:36:00 +0000 2023,@AppleSupport is there a way to see which apps are using the most battery,1000135,
1000135,AppleSupport,False,Wed Feb 22 01:40:00 +0000 2023,You can toggle that off in Settings > Messages > Send Read Receipts. Let us know if you run into any issues!,,1000134
1000136,cust_00068,True,Fri Feb 03 12:31:00 +0000 2023,"@AppleSupport ios 16.2 update bricked my iPhone 11, stuck on apple logo",1000137,
1000137,AppleSupport,False,Fri Feb 03 12:49:00 +0000 2023,"Sorry about that. First, try restarting your device. If the issue persists, we can look deeper -- mind sending us a DM?",,1000136
1000138,cust_00069,True,Sat Jan 27 13:38:00 +0000 2024,@AppleSupport genuinely impressed with how fast apple support resolved my battery issue,1000139,
1000139,AppleSupport,False,Sat Jan 27 14:20:00 +0000 2024,We're so glad we could help! Thanks for the kind words.,,1000138
1000140,cust_00070,True,Thu Nov 09 23:06:00 +0000 2023,@AppleSupport why does my iPhone 13 lose 20% battery in an hour just sitting there,1000141,
1000141,AppleSupport,False,Fri Nov 10 00:19:00 +0000 2023,"That doesn't sound right. Let's get this sorted -- which iOS version are you on, and does this happen with specific apps or all the time?",,1000140
1000142,cust_00071,True,Wed Mar 22 00:26:00 +0000 2023,@AppleSupport since the 16.4 update wifi keeps dropping every few minutes,1000143,
1000143,AppleSupport,False,Wed Mar 22 01:27:00 +0000 2023,"Let's help get this resolved. Have you tried a force restart? Press and quickly release Volume Up, then Volume Down, then hold the Side button.",,1000142
1000144,cust_00072,True,Mon Dec 18 07:59:00 +0000 2023,"@AppleSupport my phone won't update past ios 17.0, keeps failing",1000145,
1000145,AppleSupport,False,Mon Dec 18 08:36:00 +0000 2023,"Sorry about that. First, try restarting your device. If the issue persists, we can look deeper -- mind sending us a DM?",,1000144
1000146,cust_00073,True,Mon Feb 06 01:10:00 +0000 2023,"@AppleSupport stuck on apple logo for over an hour now, tried restarting",1000147,
1000147,AppleSupport,False,Mon Feb 06 01:47:00 +0000 2023,"Sorry to hear this. If a force restart doesn't help, this may need a closer look. Can you DM us your device serial number?",,1000146
1000148,cust_00074,True,Wed Oct 04 15:28:00 +0000 2023,shoutout to @AppleSupport for actually fixing my issue in 10 minutes,1000149,
1000149,AppleSupport,False,Wed Oct 04 16:00:00 +0000 2023,Awesome to hear! Don't hesitate to reach out if anything else comes up.,,1000148
1000150,cust_00075,True,Sat Jan 27 21:52:00 +0000 2024,"@AppleSupport battery health is at 77% and phone dies by 2pm, is this normal",1000151,
1000151,AppleSupport,False,Sat Jan 27 23:09:00 +0000 2024,Sorry to hear this! A few background app or settings checks can help here. Mind moving to DM so we can look into your device specifics?,,1000150
1000152,cust_00076,True,Wed Nov 22 15:05:00 +0000 2023,@AppleSupport billed for icloud storage i already cancelled,1000153,
1000153,AppleSupport,False,Wed Nov 22 16:00:00 +0000 2023,Sorry about the unexpected charge. Please DM us the receipt/order number so we can look into a refund on our end.,,1000152
1000154,cust_00077,True,Sun May 28 21:25:00 +0000 2023,@AppleSupport can you explain how family sharing works for app purchases,1000155,
1000155,AppleSupport,False,Sun May 28 22:19:00 +0000 2023,You can toggle that off in Settings > Messages > Send Read Receipts. Let us know if you run into any issues!,,1000154
1000156,cust_00078,True,Sun Jan 01 21:55:00 +0000 2023,"@AppleSupport customer service today was amazing, appreciate you guys",1000157,
1000157,AppleSupport,False,Sun Jan 01 23:18:00 +0000 2023,Awesome to hear! Don't hesitate to reach out if anything else comes up.,,1000156
1000158,cust_00079,True,Thu Jan 25 01:13:00 +0000 2024,@AppleSupport is there a way to see which apps are using the most battery,1000159,
1000159,AppleSupport,False,Thu Jan 25 02:36:00 +0000 2024,You can toggle that off in Settings > Messages > Send Read Receipts. Let us know if you run into any issues!,,1000158
1000160,cust_00080,True,Sat Dec 30 05:19:00 +0000 2023,@AppleSupport need to book a repair appointment for water damage,1000161,
1000161,AppleSupport,False,Sat Dec 30 05:37:00 +0000 2023,We'd recommend booking a check-in at your nearest Apple Store or starting a repair request online so we can assess coverage.,,1000160
1000162,cust_00081,True,Wed Sep 13 22:18:00 +0000 2023,"@AppleSupport screen is unresponsive and phone is warm, won't do anything",1000163,
1000163,AppleSupport,False,Wed Sep 13 22:39:00 +0000 2023,"Sorry to hear this. If a force restart doesn't help, this may need a closer look. Can you DM us your device serial number?",,1000162
1000164,cust_00082,True,Sat Apr 08 19:32:00 +0000 2023,@AppleSupport cancelled my subscription but still got charged this month,1000165,
1000165,AppleSupport,False,Sat Apr 08 20:11:00 +0000 2023,Sorry about the unexpected charge. Please DM us the receipt/order number so we can look into a refund on our end.,,1000164
1000166,cust_00083,True,Sat Oct 28 18:42:00 +0000 2023,@AppleSupport can i change the shipping address on my pending order,1000167,
1000167,AppleSupport,False,Sat Oct 28 19:54:00 +0000 2023,Sorry for the delay! Please DM us your order number and we'll check with the shipping carrier on our end.,,1000166
1000168,cust_00084,True,Tue Aug 22 10:55:00 +0000 2023,@AppleSupport cancelled my subscription but still got charged this month,1000169,
1000169,AppleSupport,False,Tue Aug 22 11:58:00 +0000 2023,"We understand, let's help resolve this. You can request a refund at reportaproblem.apple.com, or DM us your order ID and we'll check.",,1000168
1000170,cust_00085,True,Mon Jul 17 21:50:00 +0000 2023,@AppleSupport cancelled my subscription but still got charged this month,1000171,
1000171,AppleSupport,False,Mon Jul 17 22:05:00 +0000 2023,"For unauthorized purchases, please report it directly at reportaproblem.apple.com. If you need further help, DM us the order details.",,1000170
1000172,cust_00086,True,Tue Aug 22 00:46:00 +0000 2023,@AppleSupport genuinely impressed with how fast apple support resolved my battery issue,1000173,
1000173,AppleSupport,False,Tue Aug 22 02:08:00 +0000 2023,"That means a lot, thank you for letting us know! 😊",,1000172
1000174,cust_00087,True,Wed Nov 29 02:54:00 +0000 2023,"@AppleSupport my kid made in app purchases without permission, can i get refunded",1000175,
1000175,AppleSupport,False,Wed Nov 29 04:16:00 +0000 2023,"For unauthorized purchases, please report it directly at reportaproblem.apple.com. If you need further help, DM us the order details.",,1000174
1000176,cust_00088,True,Mon May 01 20:43:00 +0000 2023,"@AppleSupport my phone won't update past ios 15.7, keeps failing",1000177,
1000177,AppleSupport,False,Mon May 01 20:58:00 +0000 2023,That's not expected after an update. Can you tell us the exact iOS version and model? We'll go from there.,,1000176
1000178,cust_00089,True,Mon Mar 27 22:19:00 +0000 2023,@AppleSupport how do i transfer photos from my old iphone to the new one,1000179,
1000179,AppleSupport,False,Mon Mar 27 22:40:00 +0000 2023,You can toggle that off in Settings > Messages > Send Read Receipts. Let us know if you run into any issues!,,1000178
1000180,cust_00090,True,Fri Sep 29 13:36:00 +0000 2023,@AppleSupport how much would it cost to fix a cracked back glass on iPhone 12 Pro,1000181,
1000181,AppleSupport,False,Fri Sep 29 14:09:00 +0000 2023,A swollen battery should be looked at right away for safety. Please stop using the device and visit an Apple Store or Authorized Service Provider as soon as possible.,,1000180
1000182,cust_00091,True,Thu Oct 26 04:14:00 +0000 2023,@AppleSupport how do i free up storage on my iPhone 13 mini without deleting photos,1000183,
1000183,AppleSupport,False,Thu Oct 26 05:43:00 +0000 2023,"Check Settings > General > iPhone Storage for a breakdown by app, plus recommendations to free up space.",,1000182
1000184,cust_00092,True,Wed Mar 22 02:28:00 +0000 2023,"@AppleSupport thank you so much for the help yesterday, phone works great now",1000185,
1000185,AppleSupport,False,Wed Mar 22 02:56:00 +0000 2023,Awesome to hear! Don't hesitate to reach out if anything else comes up.,,1000184
1000186,cust_00093,True,Tue Sep 05 03:15:00 +0000 2023,@AppleSupport billed for icloud storage i already cancelled,1000187,
1000187,AppleSupport,False,Tue Sep 05 04:08:00 +0000 2023,"For unauthorized purchases, please report it directly at reportaproblem.apple.com. If you need further help, DM us the order details.",,1000186
1000188,cust_00094,True,Thu Jan 05 18:55:00 +0000 2023,@AppleSupport ordered my iPhone XR 2 weeks ago and it still says preparing to ship,1000189,
1000189,AppleSupport,False,Thu Jan 05 19:22:00 +0000 2023,That's not the experience we want. Let's take a closer look -- can you send your order confirmation number in a DM?,,1000188
